title,rank,date,artist,url,region,chart,trend,streams
Thinking out Loud,131,2020-10-10,Ed Sheeran,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,United Arab Emirates,top200,MOVE_DOWN,1088.0
Perfect Symphony (Ed Sheeran & Andrea Bocelli),3,2017-12-21,Ed Sheeran,https://open.spotify.com/track/3zl7j5ua8mF4JDYuxrfo01,Lithuania,viral50,MOVE_DOWN,
positions,17,2020-11-12,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,Iceland,top200,MOVE_UP,2791.0
Photograph,102,2019-07-27,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,Malaysia,top200,MOVE_DOWN,8471.0
Galway Girl,184,2017-08-10,Ed Sheeran,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,Argentina,top200,MOVE_DOWN,14259.0
boyfriend (with Social House),2,2019-08-14,Ariana Grande,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,Hong Kong,top200,SAME_POSITION,15398.0
Perfect,119,2018-11-04,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Bolivia,top200,MOVE_UP,1179.0
Castle on the Hill,98,2017-07-27,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,Global,top200,MOVE_DOWN,742113.0
"break up with your girlfriend, i'm bored",66,2019-02-28,Ariana Grande,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,El Salvador,top200,MOVE_UP,2178.0
Beautiful People (feat. Khalid),11,2019-07-02,Ed Sheeran,https://open.spotify.com/track/4evmHXcjt3bTUHD1cvny97,Indonesia,top200,MOVE_DOWN,161041.0
Shape of You,123,2018-10-07,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Netherlands,top200,MOVE_UP,27056.0
God is a woman,63,2018-09-17,Ariana Grande,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,Brazil,top200,MOVE_UP,111542.0
Galway Girl,52,2017-12-04,Ed Sheeran,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,Czech Republic,top200,MOVE_UP,3295.0
34+35,34,2021-01-26,Ariana Grande,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,Bulgaria,top200,MOVE_DOWN,1755.0
New Man,87,2017-04-01,Ed Sheeran,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG,Germany,top200,MOVE_DOWN,62807.0
Perfect,106,2017-12-30,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Brazil,top200,MOVE_DOWN,91992.0
Perfect,162,2019-10-09,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Canada,top200,MOVE_UP,32405.0
Perfect,62,2018-07-15,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Indonesia,top200,MOVE_UP,20310.0
Castle on the Hill,11,2017-03-16,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,Indonesia,top200,SAME_POSITION,45175.0
Shape of You,32,2017-11-23,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Peru,top200,SAME_POSITION,29132.0
Thinking out Loud,102,2017-10-17,Ed Sheeran,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,Bolivia,top200,MOVE_UP,1231.0
Castle on the Hill,66,2017-02-05,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,Uruguay,top200,MOVE_UP,1866.0
"thank u, next",22,2018-12-21,Ariana Grande,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,Norway,top200,MOVE_DOWN,71757.0
Perfect,94,2020-11-10,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,India,top200,MOVE_UP,48506.0
Afterglow,152,2021-03-27,Ed Sheeran,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq,Canada,top200,MOVE_DOWN,36086.0
Thinking out Loud,71,2017-02-22,Ed Sheeran,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,El Salvador,top200,MOVE_DOWN,1133.0
Shape of You,192,2020-02-27,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,South Africa,top200,MOVE_UP,1674.0
