title,rank,date,artist,url,region,chart,trend,streams
Perfect,192,2019-12-08,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Czech Republic,top200,MOVE_UP,3462.0
Perfect,75,2018-08-14,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Iceland,top200,MOVE_UP,1363.0
How Would You Feel (Paean),62,2017-04-15,Ed Sheeran,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN,United Kingdom,top200,MOVE_DOWN,109846.0
South of the Border (feat. Camila Cabello & Cardi B),29,2019-10-21,Ed Sheeran,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,Canada,top200,MOVE_UP,81243.0
Photograph,110,2017-10-03,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,Indonesia,top200,MOVE_DOWN,13183.0
Santa Tell Me,172,2019-12-28,Ariana Grande,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,Poland,top200,MOVE_DOWN,15700.0
Galway Girl,189,2018-02-25,Ed Sheeran,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,Hong Kong,top200,MOVE_DOWN,1994.0
Shape of You (feat. Zion & Lennox) - Latin Remix,27,2017-03-25,Ed Sheeran,https://open.spotify.com/track/5nCtCCB5i1OfbADvynNw0i,Hong Kong,viral50,NEW_ENTRY,
Put It All on Me (feat. Ella Mai),99,2019-07-12,Ed Sheeran,https://open.spotify.com/track/5T03itPFOPGGkvVPvPiyla,Germany,top200,NEW_ENTRY,122881.0
How Would You Feel (Paean),61,2017-02-25,Ed Sheeran,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN,Malaysia,top200,MOVE_DOWN,7953.0
Perfect,73,2017-10-15,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Colombia,top200,MOVE_DOWN,7795.0
Perfect,148,2021-10-18,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,New Zealand,top200,MOVE_DOWN,6487.0
God is a woman,12,2018-07-27,Ariana Grande,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ,Taiwan,viral50,MOVE_DOWN,
Remember The Name (feat. Eminem & 50 Cent),52,2019-07-25,Ed Sheeran,https://open.spotify.com/track/0AtP8EkGPn6SwxKDaUuXec,Sweden,top200,MOVE_DOWN,47842.0
Shape of You,8,2017-06-18,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Spain,top200,MOVE_UP,160664.0
Stuck with U (with Justin Bieber),7,2020-06-27,Ariana Grande,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,Malaysia,viral50,SAME_POSITION,
"thank u, next",181,2019-05-13,Ariana Grande,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,Switzerland,top200,MOVE_DOWN,5138.0
Shape of You,44,2017-03-12,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,United States,viral50,MOVE_DOWN,
God is a woman,53,2018-09-13,Ariana Grande,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,Indonesia,top200,MOVE_UP,30431.0
Shape of You,156,2019-10-24,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Hungary,top200,MOVE_DOWN,2285.0
Perfect,134,2018-04-24,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Germany,top200,MOVE_UP,54628.0
7 rings,145,2020-02-03,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,Poland,top200,MOVE_DOWN,19603.0
Bad Habits,26,2021-07-19,Ed Sheeran,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE,Thailand,top200,MOVE_DOWN,24141.0
Perfect,109,2019-04-27,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,South Africa,top200,MOVE_UP,1404.0
7 rings,54,2019-07-26,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,Greece,top200,MOVE_DOWN,4170.0
Castle on the Hill,56,2017-02-08,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,Uruguay,top200,MOVE_UP,2784.0
"thank u, next",42,2018-12-23,Ariana Grande,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,Panama,top200,SAME_POSITION,4689.0
7 rings,140,2019-07-03,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,Paraguay,top200,MOVE_UP,2355.0
South of the Border (feat. Camila Cabello & Cardi B),51,2019-10-28,Ed Sheeran,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,Norway,top200,SAME_POSITION,26099.0
"thank u, next",3,2018-12-17,Ariana Grande,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,Panama,viral50,SAME_POSITION,
7 rings,200,2020-07-07,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,El Salvador,top200,MOVE_DOWN,1573.0
I Don't Care (with Justin Bieber),111,2020-03-11,Ed Sheeran,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,Sweden,top200,SAME_POSITION,27859.0
Happier,87,2018-09-09,Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,New Zealand,top200,MOVE_UP,8544.0
Afterglow,44,2021-01-24,Ed Sheeran,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq,Czech Republic,viral50,MOVE_DOWN,
no tears left to cry,21,2018-07-23,Ariana Grande,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9,Belgium,top200,MOVE_UP,18223.0
"thank u, next",197,2019-12-28,Ariana Grande,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,Romania,top200,NEW_ENTRY,1560.0
Happier,9,2017-03-07,Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,Netherlands,top200,MOVE_DOWN,155641.0
South of the Border (feat. Camila Cabello & Cardi B),26,2019-07-15,Ed Sheeran,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,United Arab Emirates,top200,MOVE_DOWN,2102.0
South of the Border (feat. Camila Cabello & Cardi B),57,2019-10-02,Ed Sheeran,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,Canada,top200,SAME_POSITION,61445.0
Photograph,154,2017-10-04,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,Norway,top200,MOVE_UP,11040.0
Santa Tell Me,96,2020-12-06,Ariana Grande,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,South Africa,top200,MOVE_UP,3347.0
boyfriend (with Social House),25,2019-09-01,Ariana Grande,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,Philippines,viral50,MOVE_UP,
"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",127,2017-03-16,Ed Sheeran,https://open.spotify.com/track/3B7udSGy2PfgoCniMSb523,Denmark,top200,MOVE_DOWN,11582.0
Perfect Duet (Ed Sheeran & Beyoncé),160,2019-01-15,Ed Sheeran,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,Australia,top200,MOVE_UP,31514.0
Hearts Don't Break Around Here,172,2017-05-24,Ed Sheeran,https://open.spotify.com/track/2dfHh7ECGxfNqZTQno09Vk,United Kingdom,top200,MOVE_DOWN,41710.0
Castle on the Hill,4,2017-03-09,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,Estonia,top200,SAME_POSITION,3345.0
New Man,21,2017-03-07,Ed Sheeran,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG,Belgium,top200,MOVE_DOWN,14511.0
Bad Habits,9,2021-09-29,Ed Sheeran,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE,Singapore,top200,SAME_POSITION,30486.0
Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),11,2019-09-22,Ariana Grande,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN,Malaysia,top200,SAME_POSITION,30068.0
Happier,60,2017-07-23,Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,Australia,top200,MOVE_UP,43175.0
Shape of You,100,2019-02-28,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,New Zealand,top200,MOVE_UP,8772.0
breathin,8,2018-08-19,Ariana Grande,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,Belgium,top200,MOVE_UP,24092.0
Hearts Don't Break Around Here,116,2017-03-19,Ed Sheeran,https://open.spotify.com/track/2dfHh7ECGxfNqZTQno09Vk,Belgium,top200,MOVE_DOWN,5788.0
God is a woman,11,2018-07-22,Ariana Grande,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ,Philippines,top200,MOVE_DOWN,116362.0
Perfect,59,2017-04-19,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Honduras,top200,MOVE_DOWN,1499.0
I Don't Care (with Justin Bieber),23,2019-06-29,Ed Sheeran,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,Greece,viral50,MOVE_DOWN,
Bad Habits,2,2021-07-05,Ed Sheeran,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE,Australia,top200,SAME_POSITION,242668.0
Shape of You,35,2017-10-05,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Chile,top200,MOVE_UP,54486.0
Perfect Duet (Ed Sheeran & Beyoncé),151,2018-06-06,Ed Sheeran,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,Dominican Republic,top200,MOVE_UP,1133.0
Perfect,54,2017-05-09,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Indonesia,top200,MOVE_UP,16398.0
7 rings,83,2019-09-14,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,Canada,top200,MOVE_UP,49940.0
Shape of You,84,2018-10-21,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Israel,top200,MOVE_DOWN,2130.0
Happier,142,2019-01-29,Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,Ireland,top200,MOVE_UP,5763.0
"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",195,2017-07-14,Ed Sheeran,https://open.spotify.com/track/3B7udSGy2PfgoCniMSb523,Denmark,top200,MOVE_DOWN,7788.0
Photograph,192,2019-09-05,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,India,top200,MOVE_DOWN,12946.0
Beautiful People (feat. Khalid),195,2020-11-02,Ed Sheeran,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,India,top200,NEW_ENTRY,31411.0
Visiting Hours,26,2021-08-23,Ed Sheeran,https://open.spotify.com/track/44V6EzbUSYgyfsNiP0FrlA,South Africa,top200,MOVE_UP,6573.0
Stuck with U (with Justin Bieber),174,2020-10-18,Ariana Grande,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,India,top200,SAME_POSITION,31319.0
Shape of You,9,2019-03-24,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Japan,top200,SAME_POSITION,27251.0
Barcelona,199,2017-03-11,Ed Sheeran,https://open.spotify.com/track/3Lfiu5sZ4M4B6JaKMBc0FU,Mexico,top200,MOVE_DOWN,37093.0
Shape of You,159,2019-04-02,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Canada,top200,MOVE_DOWN,32413.0
positions,42,2021-04-03,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,Bulgaria,top200,MOVE_DOWN,1687.0
Castle on the Hill,50,2017-01-14,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,Paraguay,top200,MOVE_DOWN,2388.0
How Would You Feel (Paean),109,2017-04-02,Ed Sheeran,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN,Norway,top200,MOVE_UP,12173.0
7 rings,39,2019-03-04,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,Chile,viral50,NEW_ENTRY,
"thank u, next",192,2021-09-21,Ariana Grande,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,Philippines,top200,MOVE_UP,30300.0
7 rings,139,2020-06-08,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,Singapore,top200,MOVE_DOWN,6526.0
Bad Habits,5,2021-11-15,Ed Sheeran,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d,Hungary,top200,MOVE_UP,16585.0
breathin,37,2018-09-18,Ariana Grande,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,Honduras,viral50,MOVE_UP,
Shape of You,34,2018-08-26,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Czech Republic,top200,SAME_POSITION,4928.0
positions,46,2021-03-21,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,Vietnam,top200,SAME_POSITION,13161.0
I Don't Care (with Justin Bieber),5,2019-07-24,Ed Sheeran,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,Latvia,top200,MOVE_UP,2898.0
I Don't Care (with Justin Bieber),133,2020-11-24,Ed Sheeran,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,Singapore,top200,MOVE_UP,7742.0
7 rings,107,2019-11-16,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,Australia,top200,MOVE_UP,39736.0
Shape of You,45,2018-03-02,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Estonia,top200,NEW_ENTRY,1147.0
Dive,156,2017-06-11,Ed Sheeran,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls,Global,top200,MOVE_UP,473995.0
Shape of You,40,2018-01-14,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,El Salvador,top200,MOVE_UP,2142.0
Afterglow,123,2021-05-20,Ed Sheeran,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq,Australia,top200,MOVE_UP,38767.0
Thinking out Loud,148,2017-11-02,Ed Sheeran,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,Thailand,top200,MOVE_DOWN,1179.0
Shape of You,133,2019-12-16,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Australia,top200,MOVE_DOWN,41658.0
7 rings,130,2019-07-13,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,Peru,top200,MOVE_UP,12342.0
I Don't Care (with Justin Bieber),44,2020-03-15,Ed Sheeran,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,Czech Republic,top200,MOVE_DOWN,5617.0
Castle on the Hill,106,2017-12-29,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,Poland,top200,MOVE_UP,9351.0
Afterglow,179,2021-05-27,Ed Sheeran,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq,Germany,top200,MOVE_DOWN,55857.0
Bad Habits,103,2021-10-29,Ed Sheeran,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d,Colombia,top200,MOVE_UP,18945.0
Barcelona,114,2017-06-30,Ed Sheeran,https://open.spotify.com/track/3Lfiu5sZ4M4B6JaKMBc0FU,Ireland,top200,MOVE_DOWN,4839.0
Cross Me (feat. Chance the Rapper & PnB Rock),53,2019-08-08,Ed Sheeran,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF,Bulgaria,top200,MOVE_DOWN,1018.0
South of the Border (feat. Camila Cabello & Cardi B),118,2020-02-10,Ed Sheeran,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,Singapore,top200,MOVE_DOWN,9098.0
Galway Girl,195,2021-10-02,Ed Sheeran,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,Ireland,top200,NEW_ENTRY,6092.0
Bad Habits,52,2021-09-03,Ed Sheeran,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE,Spain,top200,MOVE_DOWN,146050.0
God is a woman,107,2018-12-03,Ariana Grande,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,Philippines,top200,MOVE_DOWN,29254.0
Baby One More Time - Recorded at Spotify Studios New York City,27,2017-06-14,Ed Sheeran,https://open.spotify.com/track/4mJDfMcT7odIUjWlb2WO4L,Japan,viral50,MOVE_DOWN,
Thinking out Loud,144,2020-07-02,Ed Sheeran,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,New Zealand,top200,MOVE_UP,6550.0
Perfect Duet (Ed Sheeran & Beyoncé),123,2018-01-07,Ed Sheeran,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,Argentina,top200,MOVE_DOWN,21288.0
Best Part of Me (feat. YEBBA),59,2019-08-04,Ed Sheeran,https://open.spotify.com/track/0VsGaRXR5WAzpu51unJTis,Taiwan,top200,MOVE_DOWN,9554.0
Happier,102,2017-11-22,Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,Ireland,top200,MOVE_DOWN,5199.0
Shape of You,130,2018-10-07,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Brazil,top200,MOVE_DOWN,67827.0
Thinking out Loud,149,2019-04-09,Ed Sheeran,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,Singapore,top200,MOVE_DOWN,7778.0
Bad Habits,14,2021-07-06,Ed Sheeran,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE,Thailand,top200,MOVE_UP,30200.0
God is a woman,110,2018-11-07,Ariana Grande,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,Denmark,top200,MOVE_UP,11434.0
positions,141,2021-08-03,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,Australia,top200,MOVE_UP,34715.0
Galway Girl,8,2017-03-13,Ed Sheeran,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,Greece,viral50,MOVE_DOWN,
breathin,30,2018-10-03,Ariana Grande,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,Taiwan,top200,MOVE_UP,10873.0
Put It All on Me (feat. Ella Mai),152,2019-07-12,Ed Sheeran,https://open.spotify.com/track/5T03itPFOPGGkvVPvPiyla,Argentina,top200,NEW_ENTRY,26379.0
Beautiful People (feat. Khalid),28,2020-01-30,Ed Sheeran,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,Hong Kong,top200,MOVE_UP,5514.0
pov,188,2020-12-08,Ariana Grande,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33,Switzerland,top200,MOVE_UP,6189.0
Thinking out Loud,83,2017-01-27,Ed Sheeran,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,Global,top200,MOVE_DOWN,763859.0
Perfect Duet (Ed Sheeran & Beyoncé),5,2018-01-07,Ed Sheeran,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,Denmark,top200,SAME_POSITION,45496.0
Castle on the Hill,67,2017-03-01,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,Uruguay,top200,MOVE_UP,2266.0
Beautiful People (feat. Khalid),2,2019-08-12,Ed Sheeran,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,Philippines,top200,SAME_POSITION,197718.0
Dive,182,2017-05-14,Ed Sheeran,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls,Argentina,top200,MOVE_UP,10974.0
Shape of You,50,2017-10-28,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Dominican Republic,top200,MOVE_DOWN,3319.0
I Don't Care (with Justin Bieber),34,2019-10-28,Ed Sheeran,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,Hong Kong,top200,MOVE_DOWN,6596.0
Castle on the Hill,4,2017-01-19,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,Switzerland,top200,MOVE_DOWN,19765.0
Shape of You,12,2017-02-20,Ed Sheeran,https://open.spotify.com/track/0FE9t6xYkqWXU2ahLh6D8X,Malaysia,viral50,MOVE_UP,
"break up with your girlfriend, i'm bored",45,2019-04-12,Ariana Grande,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,Israel,top200,MOVE_DOWN,4625.0
"break up with your girlfriend, i'm bored",22,2019-03-24,Ariana Grande,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,Indonesia,top200,MOVE_UP,58547.0
Shape of You,59,2018-06-19,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Colombia,top200,MOVE_DOWN,11263.0
Perfect,191,2020-01-09,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Norway,top200,MOVE_DOWN,9996.0
Shivers,23,2021-10-26,Ed Sheeran,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r,Andorra,viral50,MOVE_DOWN,
Perfect,197,2020-09-24,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Costa Rica,top200,NEW_ENTRY,3000.0
Perfect,37,2017-11-12,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Sweden,viral50,MOVE_UP,
breathin,42,2018-11-14,Ariana Grande,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,Australia,top200,SAME_POSITION,75529.0
One Last Time,34,2017-07-22,Ariana Grande,https://open.spotify.com/track/7bJwvubZZaoGE1AGEfu8Fi,Ireland,top200,MOVE_UP,14889.0
Happier,24,2017-04-05,Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,Ireland,top200,SAME_POSITION,17351.0
Supermarket Flowers,126,2017-03-10,Ed Sheeran,https://open.spotify.com/track/4VuS959DSpr82t3qBqCrWG,Honduras,top200,MOVE_DOWN,1005.0
Shivers,26,2021-11-10,Ed Sheeran,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5,Malaysia,top200,SAME_POSITION,25777.0
Perfect,54,2017-09-30,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Netherlands,top200,MOVE_UP,61352.0
34+35,178,2021-03-12,Ariana Grande,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,Peru,top200,MOVE_DOWN,12272.0
Thinking out Loud,105,2017-12-27,Ed Sheeran,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,Australia,top200,MOVE_UP,31479.0
7 rings,25,2019-03-11,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,Japan,viral50,MOVE_DOWN,
34+35,171,2021-07-19,Ariana Grande,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,United States,top200,MOVE_UP,214527.0
boyfriend (with Social House),92,2019-11-11,Ariana Grande,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,Australia,top200,MOVE_DOWN,42781.0
"thank u, next",193,2019-12-04,Ariana Grande,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,Ireland,top200,MOVE_UP,5634.0
Dive,109,2017-08-29,Ed Sheeran,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls,New Zealand,top200,MOVE_DOWN,6674.0
Photograph,169,2017-02-03,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,Turkey,top200,MOVE_UP,4932.0
South of the Border (feat. Camila Cabello & Cardi B),42,2019-07-30,Ed Sheeran,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,Romania,top200,SAME_POSITION,2719.0
I Don't Care (with Justin Bieber),80,2020-05-05,Ed Sheeran,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,Belgium,top200,MOVE_UP,10280.0
Shape of You,132,2020-08-20,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Global,top200,MOVE_UP,808302.0
7 rings,56,2019-07-21,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,Estonia,top200,MOVE_UP,1085.0
South of the Border (feat. Camila Cabello & Cardi B),43,2019-07-12,Ed Sheeran,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,Uruguay,top200,NEW_ENTRY,4974.0
Thinking out Loud,129,2017-09-26,Ed Sheeran,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,Global,top200,MOVE_DOWN,625797.0
7 rings,169,2019-07-25,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,Germany,top200,MOVE_DOWN,65832.0
God is a woman,19,2018-08-04,Ariana Grande,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ,Lithuania,viral50,MOVE_DOWN,
Shape of You,159,2020-02-01,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Switzerland,top200,MOVE_UP,6366.0
I Don't Care (with Justin Bieber),43,2019-12-26,Ed Sheeran,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,Malaysia,top200,MOVE_UP,17065.0
Photograph,133,2017-10-09,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,Switzerland,top200,MOVE_DOWN,3663.0
Shape of You,82,2018-12-22,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Czech Republic,top200,MOVE_UP,4413.0
Photograph,73,2017-03-01,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,United Kingdom,top200,MOVE_UP,78111.0
no tears left to cry,180,2018-08-31,Ariana Grande,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,Italy,top200,MOVE_DOWN,29720.0
Shape of You,14,2017-08-28,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Poland,top200,MOVE_DOWN,26286.0
South of the Border (feat. Camila Cabello & Cardi B),153,2020-05-11,Ed Sheeran,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,Slovakia,top200,MOVE_DOWN,1503.0
"break up with your girlfriend, i'm bored",65,2019-05-08,Ariana Grande,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,Finland,top200,MOVE_UP,11597.0
Shivers,35,2021-10-19,Ed Sheeran,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r,Finland,viral50,MOVE_UP,
Shape of You,85,2018-04-11,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Norway,top200,MOVE_DOWN,17708.0
"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",152,2018-02-19,Ed Sheeran,https://open.spotify.com/track/3B7udSGy2PfgoCniMSb523,Denmark,top200,MOVE_DOWN,8795.0
Eraser,54,2017-03-10,Ed Sheeran,https://open.spotify.com/track/7oolFzHipTMg2nL7shhdz2,Lithuania,top200,NEW_ENTRY,1054.0
